GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HexaFun Examples,com.guinetik.hexafun.examples.counter,CounterUseCases,0,10,0,0,0,6,0,1,0,1
HexaFun Examples,com.guinetik.hexafun.examples.counter,CounterInputs.DecrementInput,0,6,0,0,0,1,0,1,0,1
HexaFun Examples,com.guinetik.hexafun.examples.counter,CounterInputs.AddInput,0,9,0,0,0,1,0,1,0,1
HexaFun Examples,com.guinetik.hexafun.examples.counter,Counter,0,40,0,0,0,6,0,6,0,6
HexaFun Examples,com.guinetik.hexafun.examples.counter,CounterApp,84,78,4,0,14,18,3,8,1,8
HexaFun Examples,com.guinetik.hexafun.examples.counter,CounterValidators,9,47,3,13,3,15,3,9,0,4
HexaFun Examples,com.guinetik.hexafun.examples.counter,CounterInputs.IncrementInput,0,6,0,0,0,1,0,1,0,1
HexaFun Examples,com.guinetik.hexafun.examples.tui,Ansi,160,0,12,0,33,0,19,0,13,0
HexaFun Examples,com.guinetik.hexafun.examples.tui,View,106,0,4,0,14,0,18,0,16,0
HexaFun Examples,com.guinetik.hexafun.examples.tui,HexaTerminal,488,0,66,0,100,0,46,0,13,0
HexaFun Examples,com.guinetik.hexafun.examples.tui,Widgets,564,0,14,0,103,0,27,0,20,0
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskInputs.UpdateTask,0,12,0,0,0,1,0,1,0,1
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskInputs.CreateTask,0,9,0,0,0,1,0,1,0,1
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskValidators,22,83,11,19,6,19,11,13,2,7
HexaFun Examples,com.guinetik.hexafun.examples.tasks,InMemoryTaskRepository,4,44,0,2,2,8,1,7,1,6
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskRepository,5,0,0,0,1,0,1,0,1,0
HexaFun Examples,com.guinetik.hexafun.examples.tasks,Task,33,65,0,2,3,6,3,7,3,6
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskInputs.StartTask,6,0,0,0,1,0,1,0,1,0
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskInputs.CompleteTask,0,6,0,0,0,1,0,1,0,1
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskUseCases,0,22,0,0,0,14,0,1,0,1
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskStatus,14,21,4,0,2,4,4,1,2,1
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskInputs.FindTask,0,6,0,0,0,1,0,1,0,1
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskApp,247,212,8,0,59,50,11,17,7,17
HexaFun Examples,com.guinetik.hexafun.examples.tasks,TaskInputs.DeleteTask,0,6,0,0,0,1,0,1,0,1
HexaFun Examples,com.guinetik.hexafun.examples.tasks.tui,TasksTUI,900,0,93,0,180,0,68,0,18,0
HexaFun Examples,com.guinetik.hexafun.examples.tasks.tui,TasksTUI.Actions,107,0,7,0,30,0,14,0,10,0
HexaFun Examples,com.guinetik.hexafun.examples.tasks.tui,TasksTUI.Action,26,0,0,0,3,0,5,0,5,0
HexaFun Examples,com.guinetik.hexafun.examples.tasks.tui,TasksTUI.Views,1397,0,47,0,248,0,45,0,20,0
HexaFun Examples,com.guinetik.hexafun.examples.tasks.tui,TasksTUI.State,101,0,4,0,14,0,13,0,11,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonHandlers.GetDiskHandler,11,0,0,0,3,0,2,0,2,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonHandlers.GetAllMetricsHandler,10,0,0,0,3,0,2,0,2,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonKeys,25,0,0,0,16,0,1,0,1,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,MetricsProvider,10,0,0,0,1,0,1,0,1,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SystemMetrics,52,0,12,0,5,0,11,0,5,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,RealMetricsProvider,118,0,14,0,28,0,11,0,4,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonAdapters,412,0,16,0,58,0,14,0,6,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonHandlers.GetCpuHandler,11,0,0,0,3,0,2,0,2,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonView,744,0,24,0,107,0,29,0,16,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonHandlers.GetMemoryHandler,11,0,0,0,3,0,2,0,2,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonState,98,0,0,0,8,0,8,0,8,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonApp,47,0,0,0,12,0,1,0,1,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,MockMetricsProvider,61,0,0,0,15,0,7,0,7,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,OshiMetricsProvider,168,0,20,0,36,0,14,0,4,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonFormat,53,0,0,0,10,0,2,0,2,0
HexaFun Examples,com.guinetik.hexafun.examples.sysmon,SysmonTUI,196,0,17,0,57,0,19,0,8,0
HexaFun Examples,com.guinetik.hexafun.examples,ExamplesLauncher,350,0,14,0,48,0,14,0,5,0
